fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person (Rs),Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages (in lakhs),Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure (in lakhs),Total_Exp (in Lakhs),Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages (in lakhs),Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,Sep,34,JHARKHAND,3412,JAMTARA,3716827,279.2854859,35,139,9.98172,9852,0,54112,3467483,268855,15097,603779,42944,97.32884,9791.487307,96931,106999,140981,186771,626,254398,325263,63964,9684.176747,1822247,97,79.42,77.12,100.01,NA
2025-2026,Sep,34,JHARKHAND,3415,GODDA,2805588,279.2976057,34,163,243.9681922,5266,5,55317,2303348,103062,9745,474975,40075,164.50807,6841.672078,67616,73840,130319,189933,148,328513,468850,60583,6433.195815,1253900,95,67.82,63.71,100.04,NA
2025-2026,Sep,34,JHARKHAND,3420,BOKARO,2618982,285.8186092,34,221,867.2311721,4865,14,52381,2185866,260229,27906,328418,35118,202.13753,7316.980502,63242,70641,138941,207295,535,399393,570762,57246,6247.6118,1233213,98,68.02,66.66,100,NA
2025-2026,Sep,34,JHARKHAND,3424,KHUNTI,1208518,282.5429974,40,136,86.785099,2555,0,27496,1080266,46575,4329,723914,63377,79.42904,3218.430076,26419,31620,57172,92095,1460,154873,246020,30051,3052.215937,533395,98,78.69,79.28,100,NA
2025-2026,Sep,34,JHARKHAND,3404,SIMDEGA,2320175,287.8974185,38,190,27.8466117,6849,0,37982,1953864,189441,14839,1233297,103456,87.4798,5740.450428,50734,58150,98074,157702,775,182519,286010,44831,5625.124016,931056,97,68.45,71.34,100.01,NA
2025-2026,Sep,34,JHARKHAND,3406,LATEHAR,3694783,278.9578684,36,644,0,12716,0,54781,3548447,494388,24466,1038394,57456,80.79098,9979.463091,98175,107347,139817,171473,542,220685,267982,67497,9898.672111,1726418,98,37.46,85.66,100.01,NA
2025-2026,Sep,34,JHARKHAND,3411,DUMKA,4082211,280.0699252,37,146,55.8226749,6003,0,43443,3247813,173265,11516,791034,66297,197.47478,9349.444894,87223,93840,152814,212369,755,349996,492585,49446,9096.14744,1597689,96,77.52,80.83,100,NA
2025-2026,Sep,34,JHARKHAND,3412,JAMTARA,3716827,279.345771,34,139,5.92672,9189,0,54440,3345490,258596,15072,581306,42883,97.32884,9448.740394,96100,106018,140673,186402,516,254203,325056,63629,9345.484834,1758870,97,79.53,77.25,100.01,NA
2025-2026,Sep,34,JHARKHAND,3403,GUMLA,2439304,267.4232493,36,193,38.4182458,3895,1,50127,2014501,76287,6778,1139978,120551,130.89446,5556.556738,55554,65747,112143,190985,794,230955,382118,54022,5387.244032,894363,96,79.52,82.32,100,NA
2025-2026,Sep,34,JHARKHAND,3411,DUMKA,4082211,280.1008691,37,147,57.1164616,6337,0,43562,3334974,177375,11552,813485,66448,197.47478,9595.882401,88230,94947,153258,212897,797,350231,492834,49899,9341.29116,1641063,96,76.91,80.62,100,NA
2025-2026,Sep,34,JHARKHAND,3415,GODDA,2805588,279.5440637,33,160,84.856367,5147,5,55319,2270163,101408,9739,467322,39990,164.50807,6595.470341,67247,73392,130180,189754,128,328457,468802,60466,6346.105904,1233812,95,67.99,63.94,100.04,NA
2025-2026,Aug,34,JHARKHAND,3417,CHATRA,3494357,281.8431086,27,103,0.01143,6392,1,54733,2875297,691532,55050,176567,11744,75.04138,8178.879255,105489,117878,173944,211309,252,301302,358139,61125,8103.826445,1499830,98,79.99,83.58,100,NA
2025-2026,Aug,34,JHARKHAND,3418,KODERMA,1177460,284.9878014,35,103,24.07996623,2195,0,21243,1293095,109845,9396,18804,1115,47.159,3756.401977,36262,39662,66061,83681,350,162805,204870,23438,3685.163011,697843,94,82.71,70.25,100,NA
2025-2026,Aug,34,JHARKHAND,3419,GIRIDIH,6667832,279.7779612,34,794,4.1229337,13709,9,91629,5563246,373695,33176,439028,35268,157.61192,15726.47109,163256,174310,296601,382448,734,699200,914168,105338,15564.73624,3048120,97,73.8,78.46,100.01,NA
2025-2026,Aug,34,JHARKHAND,3402,LOHARDAGA,879281,276.960658,38,105,3.36172,2939,0,23300,878719,45151,5123,499726,69289,70.10697,2507.174614,22913,30678,53639,113833,306,104179,204380,26239,2433.705924,457015,98,49.21,47.79,100,NA
2025-2026,Aug,34,JHARKHAND,3407,GARHWA,6431482,279.9491867,33,253,68.2094786,17744,0,62756,5193723,555718,50867,540861,37986,237.52582,14845.5206,157355,190935,252448,359108,588,438531,609092,80500,14539.7853,2461088,95,80.41,83.69,100.01,NA
2025-2026,Aug,34,JHARKHAND,3413,SAHEBGANJ,1696914,286.1104731,29,380,5.4206586,4585,4,41873,1753936,60361,6631,459124,45615,137.04742,5160.662666,58980,63783,123145,153912,215,370332,451337,46458,5018.194587,908987,94,60.53,59.03,100,NA
2025-2026,Aug,34,JHARKHAND,3416,HAZARIBAGH,3252176,285.1149955,34,280,25.0116252,10508,13,51468,3187658,405207,34974,182976,15384,208.16686,9321.669447,92504,102107,167124,225741,880,392957,535542,61976,9088.490962,1744952,97,70.69,83.56,100,NA
2025-2026,Aug,34,JHARKHAND,3417,CHATRA,3494357,281.9094871,27,103,0.01143,6397,1,54873,2889483,694678,55045,177544,11744,75.04138,8220.779515,105655,118070,173948,211316,258,301313,358153,61270,8145.726705,1507630,98,79.86,83.43,100,NA
2025-2026,Aug,34,JHARKHAND,3418,KODERMA,1177460,285.0810426,35,103,64.8782832,2208,0,21250,1297837,110641,9398,18967,1115,47.159,3811.924534,36328,39738,66087,83713,357,162842,204913,23458,3699.887251,700455,94,82.67,70.25,100,NA
2025-2026,Aug,34,JHARKHAND,3422,DEOGHAR,3908802,282.1851733,35,349,29.39246,8984,0,50036,3898381,245635,24245,324417,28109,132.4544,11162.50004,108443,119710,192114,272345,1089,444920,639878,59020,11000.65318,1858195,96,51.84,77.18,100,NA
2025-2026,Sep,34,JHARKHAND,3401,RANCHI,2366339,283.4161826,35,148,371.4363716,5220,5,57070,2387637,126160,12557,862160,102555,302.22545,7440.61146,67121,78712,150915,244141,805,371636,557459,62290,6766.949639,1212349,97,69.36,68.85,100,NA
2025-2026,Sep,34,JHARKHAND,3403,GUMLA,2439304,267.1320646,35,189,36.4832458,3838,1,49831,1981125,75087,6759,1120981,120269,130.89446,5459.597821,55151,65261,111828,190524,735,230855,382000,53669,5292.220115,879456,96,79.63,82.37,100,NA
2025-2026,Sep,34,JHARKHAND,3405,PALAMU,4222979,280.537801,31,544,40.7426514,10187,0,86753,3559788,779561,75601,263843,25806,309.69223,10336.98586,113959,136153,209970,291416,444,456874,614295,96940,9986.550976,1701094,96,67.92,77.91,100.05,NA
2025-2026,Sep,34,JHARKHAND,3412,JAMTARA,3716827,279.1846642,34,138,5.92672,9186,0,54265,3331509,257917,15074,578309,42872,97.32884,9404.317774,95951,105832,140634,186361,513,254130,324981,63451,9301.062214,1751124,97,79.58,77.33,100.01,NA
2025-2026,Sep,34,JHARKHAND,3418,KODERMA,1361090,285.5009656,36,103,182.7849092,2248,0,21346,1315875,112147,9392,18957,1115,47.159,3986.779741,36492,39922,66148,83788,415,162916,205001,23594,3756.835832,710726,94,82.48,70.19,100,NA
2025-2026,Sep,34,JHARKHAND,3424,KHUNTI,1208518,284.7919163,39,135,28.8754956,2431,0,27464,1031981,44070,4315,692103,63188,79.42904,3047.303002,25968,31065,56981,91804,1243,154782,245906,29895,2938.998466,508241,98,78.64,79.24,100,NA
2025-2026,Aug,34,JHARKHAND,3408,WEST SINGHBHUM,2175652,278.1356537,32,143,16.9236,7122,3,59205,2221611,49752,5465,1514386,152874,189.27671,6385.292587,68399,74153,149892,217824,379,379011,543328,66327,6179.092277,1067216,95,66.72,73.77,100.01,NA
2025-2026,Aug,34,JHARKHAND,3411,DUMKA,3531463,280.4208533,34,136,39.3653458,4908,0,41701,2882702,153427,11347,699769,65720,197.47478,8320.537673,83586,89830,151215,210304,327,348934,491438,46609,8083.697547,1416174,96,80,81.36,100,NA
2025-2026,Aug,34,JHARKHAND,3407,GARHWA,6431482,280.0744274,32,251,2.4641185,17529,0,62461,5151932,550332,50800,534853,37945,237.52582,14669.23399,156832,190210,252281,358851,525,438413,608932,79990,14429.24405,2440197,95,80.87,84.17,100.01,NA
2025-2026,Aug,34,JHARKHAND,3410,EAST SINGHBUM,1653434,282.9356728,31,142,38.7125705,6183,35,50125,1585166,68553,9148,655127,99519,158.87699,4682.589648,49763,57817,110297,210871,283,289183,509124,56308,4485.000088,917391,96,55.63,65.56,100.01,NA
2025-2026,Aug,34,JHARKHAND,3418,KODERMA,1177460,284.7267565,35,103,17.3913297,2137,0,21251,1268423,106860,9371,18584,1112,47.159,3676.089997,35973,39338,65997,83594,308,162745,204790,23388,3611.539667,683264,94,82.97,70.43,100,NA
2025-2026,Aug,34,JHARKHAND,3422,DEOGHAR,3908802,281.5556196,35,343,29.39246,8319,0,49848,3781081,237982,24145,316052,28049,132.4544,10807.6929,107334,118342,191390,271281,774,444492,639250,58167,10645.84604,1802754,96,51.95,77.5,100,NA
2025-2026,Aug,34,JHARKHAND,3423,RAMGARH,1340243,280.5356913,41,175,5.8548471,4254,22,23492,1390081,94927,8081,377509,27930,81.42504,3986.95323,33724,41274,63149,103945,611,150892,236041,27746,3899.673343,732548,97,63.76,67.77,100,NA
2025-2026,Aug,34,JHARKHAND,3424,KHUNTI,1045473,279.4978654,38,134,3.4272,2109,0,27538,968197,41060,4285,649205,62966,79.42904,2788.946188,25286,30229,56743,91454,923,154615,245698,29647,2706.089948,475729,98,78.57,79.4,100,NA
2025-2026,Sep,34,JHARKHAND,3402,LOHARDAGA,1016409,278.6309382,39,107,14.03295,3260,0,23134,916336,47648,5124,519432,69428,70.10697,2637.335514,23300,31248,53759,114084,344,104246,204510,26394,2553.195594,476310,98,49.17,47.86,100,NA
2025-2026,Sep,34,JHARKHAND,3403,GUMLA,2439304,267.4471928,35,190,36.4832458,3838,1,49836,1983837,75149,6760,1122450,120270,130.89446,5473.094072,55153,65259,111836,190528,740,230864,382012,53674,5305.716367,880707,96,79.63,82.36,100,NA
2025-2026,Sep,34,JHARKHAND,3406,LATEHAR,3694783,278.2594182,36,644,0,12678,0,54589,3532106,492735,24475,1034042,57474,80.79098,9909.208587,98111,107273,139851,171516,538,220640,267936,67267,9828.417607,1718172,98,37.48,85.62,100.01,NA
2025-2026,Sep,34,JHARKHAND,3410,EAST SINGHBUM,1911294,282.8420805,32,149,49.3829605,6663,35,50530,1665550,72729,9191,687617,99829,158.87699,4919.136222,50930,59249,110752,211686,347,289506,509628,57193,4710.876271,968690,96,55.39,64.5,100.01,NA
2025-2026,Sep,34,JHARKHAND,3420,BOKARO,2618982,285.81564,34,218,590.9010845,4672,14,52365,2139022,254294,27857,321946,35004,202.13753,6906.698034,62606,69912,138598,206794,499,399222,570532,57037,6113.65942,1205251,98,68.3,66.91,100,NA
2025-2026,Sep,34,JHARKHAND,3421,DHANBAD,2062782,281.0482687,31,138,0.76,17237,1,42091,1834962,153685,16027,256192,23138,120.96013,5278.849062,58915,67002,113781,156896,412,328678,424711,59328,5157.128932,970543,97,70.28,73.27,100,NA
2025-2026,Aug,34,JHARKHAND,3412,JAMTARA,3215374,279.2568379,32,134,0,8513,0,54326,3095818,237639,15022,534658,42709,97.32884,8742.612294,94292,103820,140076,185673,364,253849,324679,62839,8645.283454,1625772,97,80.01,77.72,100.01,NA
2025-2026,Aug,34,JHARKHAND,3415,GODDA,2427075,280.027823,32,157,17.816242,4596,5,54873,2145002,95650,9712,439749,39798,164.50807,6188.926716,66104,72054,129745,189133,103,328174,468456,59469,6006.602404,1159222,95,68.42,65.12,100.05,NA
2025-2026,Aug,34,JHARKHAND,3417,CHATRA,3494357,282.394398,26,101,0.01143,6309,1,54649,2837161,682664,54998,174183,11728,75.04138,8087.036536,105121,117446,173778,211118,198,301258,358085,60958,8011.983726,1479011,98,80.35,83.93,100,NA
2025-2026,Aug,34,JHARKHAND,3421,DHANBAD,1784484,279.7269413,30,137,0.76,16308,1,42386,1769947,146577,15930,246860,23049,120.96013,5072.738737,57997,65870,113322,156217,353,328335,424182,58694,4951.018607,933738,97,71.17,74.34,100,NA
2025-2026,Sep,34,JHARKHAND,3409,SARAIKELA KHARSAWAN,1960328,280.241862,32,190,416.8000756,3230,1,53108,1833751,81567,10620,581398,85950,121.89953,5677.637553,55678,68755,112164,212147,464,241115,425617,56338,5138.937947,953175,96,49.79,55.21,100,NA
2025-2026,Sep,34,JHARKHAND,3411,DUMKA,4082211,279.4279361,39,148,158.9042531,7048,0,44040,3576815,191374,11688,868373,66935,193.36978,10346.89437,90908,97858,154417,214406,1243,350946,493608,51088,9994.620333,1762684,96,74.94,80.26,100,NA
2025-2026,Sep,34,JHARKHAND,3416,HAZARIBAGH,3759368,284.7635888,36,319,76.5086952,12632,13,57606,3583956,460607,35469,205651,15458,208.16686,10490.47728,97727,108109,169098,228510,1645,393809,536354,70238,10205.80173,1976028,97,68.37,83.01,100,NA
2025-2026,Sep,34,JHARKHAND,3424,KHUNTI,1208518,283.3010937,41,137,207.8331003,3244,0,26883,1120322,48401,4340,750628,63550,79.42904,3461.146619,26791,32073,57335,92335,1667,155018,246204,30127,3173.884479,554103,98,78.77,79.35,100,NA
2025-2026,Sep,34,JHARKHAND,3401,RANCHI,2366339,283.7716526,37,179,1225.842012,7535,5,56018,2648653,140925,12648,951290,103335,244.12766,8986.096062,70139,82568,152357,246437,1120,372761,559064,63553,7516.12639,1354938,97,68.09,67.4,100,NA
2025-2026,Sep,34,JHARKHAND,3402,LOHARDAGA,1016409,278.3627674,41,115,60.64502471,3943,0,22931,1023942,52745,5161,578608,70026,70.10697,2981.025282,24404,32805,54280,115114,505,104535,205062,26874,2850.273288,531979,98,49.42,48.4,100,NA
2025-2026,Sep,34,JHARKHAND,3403,GUMLA,2439304,267.6207188,37,198,56.5226348,4335,1,50576,2159353,81464,6820,1224293,121267,116.99346,5952.392114,57275,67940,112939,192181,984,231586,382923,54911,5778.876019,960439,96,78.8,81.71,100.01,NA
2025-2026,Sep,34,JHARKHAND,3408,WEST SINGHBHUM,2514955,278.0455823,36,149,768.2422736,10061,3,60189,2663582,60283,5586,1806157,154987,177.35511,8351.569465,73434,79836,152365,221050,1228,380622,545096,70250,7405.972082,1280801,95,66.55,73.19,100.01,NA
2025-2026,Sep,34,JHARKHAND,3409,SARAIKELA KHARSAWAN,1960328,279.7955926,33,193,424.7870832,3718,1,52946,1889085,84409,10642,601276,86095,121.89953,5832.263183,56254,69552,112433,212679,526,241152,425682,56664,5285.57657,982479,96,49.04,54.3,100,NA
2025-2026,Sep,34,JHARKHAND,3411,DUMKA,4082211,280.3590469,40,150,201.9670801,7768,0,43921,3734622,199919,11776,908790,67183,193.36978,10865.6875,92460,99576,155076,215266,1423,351283,493972,51689,10470.35064,1841029,96,73.8,79.9,100,NA
2025-2026,Sep,34,JHARKHAND,3413,SAHEBGANJ,1961556,285.3564618,31,431,460.0381441,6029,4,42504,1978369,68529,6752,535768,46569,100.78018,6206.222103,62281,67451,125052,156267,324,370823,451907,48533,5645.403779,1027032,95,57.77,55.88,100,NA
2025-2026,Sep,34,JHARKHAND,3415,GODDA,2805588,279.418244,35,166,485.0207517,5717,5,55092,2434900,109041,9806,511494,40324,161.18167,7449.757244,68901,75314,130888,190731,219,328824,469263,60809,6803.554822,1333588,95,66.77,62.25,100.05,NA
2025-2026,Sep,34,JHARKHAND,3417,CHATRA,4039318,281.7618818,29,106,54.49970238,7590,1,56035,3178095,761745,55303,191676,11787,64.98138,9074.141358,108811,121782,174752,212413,465,301917,358964,63625,8954.660276,1671085,98,77.93,81.19,100.01,NA
2025-2026,Sep,34,JHARKHAND,3418,KODERMA,1361090,284.6995085,37,104,316.6904091,2661,0,21199,1414557,121462,9448,20837,1118,47.159,4391.086235,37415,40950,66587,84356,596,163350,205512,23860,4027.236826,769280,94,81.38,69.83,100,NA
2025-2026,Sep,34,JHARKHAND,3419,GIRIDIH,7707711,279.563157,36,835,398.8630261,17152,9,89803,6379941,431121,33770,504072,35708,149.4648,18384.2923,172637,184904,300933,388164,1585,702061,917452,106955,17835.96448,3511391,97,72.8,76.7,100.01,NA
2025-2026,Sep,34,JHARKHAND,3401,RANCHI,2366339,283.7995749,37,179,1191.026479,7427,5,56068,2624044,139406,12639,941490,103242,244.12766,8882.179855,69874,82235,152179,246170,1092,372678,558925,63495,7447.025716,1341329,97,68.32,67.69,100,NA
2025-2026,Sep,34,JHARKHAND,3411,DUMKA,4082211,280.2486039,40,148,200.8533623,7629,0,43944,3692175,197438,11751,898794,67102,193.36978,10741.49204,92024,99085,154830,214927,1356,351199,493875,51573,10347.26889,1819829,96,74.1,80,100,NA
2025-2026,Sep,34,JHARKHAND,3412,JAMTARA,3716827,279.4507925,38,143,22.4408748,10437,0,54104,3766090,292948,15179,655823,43080,97.32884,10644.13807,98801,109204,141626,187555,818,254765,325679,64541,10524.36835,1980387,97,79.01,76.65,100.01,NA
2025-2026,Sep,34,JHARKHAND,3416,HAZARIBAGH,3759368,283.8982349,37,324,84.9404014,12933,13,58586,3683855,473633,35574,211129,15517,208.16686,10751.50658,98970,109572,169705,229317,1805,394256,536848,71519,10458.39932,2032834,97,67.46,82.89,100,NA
2025-2026,Aug,34,JHARKHAND,3402,LOHARDAGA,879281,276.7188316,38,105,4.96396,2957,0,23300,885098,45526,5125,503183,69359,70.10697,2524.303774,22987,30777,53711,113977,311,104191,204412,26257,2449.232844,460335,98,49.23,47.81,100,NA
2025-2026,Aug,34,JHARKHAND,3406,LATEHAR,3196304,278.0352333,34,642,0,12421,0,54246,3402133,472480,24421,998195,57407,80.79098,9539.919404,97286,106320,139644,171265,484,220330,267616,66667,9459.128424,1653028,98,37.27,85.66,100.01,NA
2025-2026,Aug,34,JHARKHAND,3408,WEST SINGHBHUM,2175652,277.8110176,33,144,16.9236,8159,3,59656,2344147,52437,5499,1596398,153325,189.27671,6718.498944,69639,75534,150522,218645,511,379546,543905,67815,6512.298634,1126201,95,66.65,73.5,100.01,NA
2025-2026,Aug,34,JHARKHAND,3410,EAST SINGHBUM,1653434,281.9869111,32,145,38.7125705,6455,35,50400,1629768,70894,9173,672721,99730,158.87699,4793.322002,50438,58646,110592,211454,313,289401,509485,56855,4595.732441,945990,96,55.38,64.98,100.01,NA
2025-2026,Aug,34,JHARKHAND,3413,SAHEBGANJ,1696914,286.4586348,29,387,8.5566586,4614,4,41944,1765040,60596,6638,462280,45671,137.04742,5201.713566,59079,63889,123243,154038,216,370354,451370,46558,5056.109487,915242,94,60.41,58.9,100,NA
2025-2026,Aug,34,JHARKHAND,3421,DHANBAD,1784484,279.7324725,30,137,0.76,16968,1,42105,1799977,149418,15977,251285,23101,120.96013,5156.840297,58430,66381,113550,156560,371,328525,424483,59073,5035.120167,950605,97,70.71,73.81,100,NA
2025-2026,Aug,34,JHARKHAND,3424,KHUNTI,1045473,280.5673687,39,135,5.79105,2336,0,27490,1006621,42875,4304,675316,63080,79.42904,2909.470142,25673,30705,56890,91666,1124,154712,245824,29826,2824.250052,495369,98,78.64,79.25,100,NA
2025-2026,Sep,34,JHARKHAND,3410,EAST SINGHBUM,1911294,282.776758,33,153,59.3627105,7119,35,51031,1732437,76400,9248,713836,100138,158.87699,5117.168883,51712,60257,111217,212604,564,289719,509940,58150,4898.929182,1010355,96,54.87,63.71,100.01,NA
2025-2026,Sep,34,JHARKHAND,3401,RANCHI,2366339,283.4787726,36,171,1066.056626,6175,5,56874,2500709,133038,12583,900203,102911,302.22545,8457.261256,68538,80545,151572,245223,952,372138,558200,63049,7088.97918,1274017,97,69.01,68.3,100,NA
2025-2026,Sep,34,JHARKHAND,3402,LOHARDAGA,1016409,279.0184066,40,111,25.09818841,3498,0,23163,961862,49717,5146,545092,69707,70.10697,2778.977184,23781,31934,53997,114553,388,104363,204729,26661,2683.772026,499865,98,49.16,47.94,100,NA
2025-2026,Sep,34,JHARKHAND,3404,SIMDEGA,2320175,287.3006572,39,193,56.215208,7554,0,37901,2055748,198960,14901,1299313,103835,87.4798,6049.872523,51609,59208,98422,158208,990,182733,286256,45455,5906.177515,980558,97,68.13,71.62,100.01,NA
2025-2026,Sep,34,JHARKHAND,3407,GARHWA,7434501,279.987194,33,254,68.2094786,18368,0,62999,5319444,574877,50987,557479,38052,237.52582,15199.49729,158993,193172,252894,359805,836,438773,609425,81367,14893.76199,2523755,95,79.14,82.36,100.02,NA
2025-2026,Sep,34,JHARKHAND,3419,GIRIDIH,7707711,278.7600421,35,822,242.0138537,15706,9,91468,6070948,410797,33563,481076,35549,157.61192,17323.00298,169411,181269,299315,386070,1092,701105,916347,107174,16923.3772,3336020,97,73.24,77.25,100.01,NA
2025-2026,Sep,34,JHARKHAND,3422,DEOGHAR,4518398,280.120273,37,374,53.0078204,10341,0,50668,4249787,267645,24468,345167,28288,132.4544,12089.97717,112912,125081,193861,274997,1986,446024,641397,61009,11904.51495,2030212,96,51.67,75.91,100,NA
2025-2026,Sep,34,JHARKHAND,3402,LOHARDAGA,1016409,277.6735051,40,111,22.16346326,3421,0,23179,955027,49283,5136,541394,69655,70.10697,2744.127379,23730,31864,53946,114457,376,104328,204663,26600,2651.856946,496178,98,49.15,47.92,100,NA
2025-2026,Sep,34,JHARKHAND,3403,GUMLA,2439304,267.5204191,36,196,48.6782458,4010,1,50386,2051313,77432,6781,1161124,120767,130.89446,5667.253841,56061,66400,112333,191289,850,231053,382267,54396,5487.681135,911453,96,79.35,82.15,100,NA
2025-2026,Sep,34,JHARKHAND,3407,GARHWA,7434501,279.949132,33,253,68.2094786,18347,0,62905,5301916,572277,50981,555321,38038,237.52582,15148.40312,158780,192861,252822,359700,818,438758,609401,81252,14842.66782,2514737,95,79.3,82.54,100.02,NA
2025-2026,Sep,34,JHARKHAND,3414,PAKUR,2107116,281.2009596,34,48,281.2159194,5828,0,39202,1831262,41390,3263,589336,44060,120.56018,5551.302417,52500,55671,97632,123981,515,249173,312609,45030,5149.526318,952019,98,69.71,65.45,100,NA
2025-2026,Sep,34,JHARKHAND,3406,LATEHAR,3694783,278.0034935,38,657,0,14359,0,54178,3875229,540804,24625,1134415,58099,74.20898,10847.48098,100956,110514,141144,172979,925,221652,268977,68537,10773.272,1887371,98,37.8,85.59,100.01,NA
2025-2026,Sep,34,JHARKHAND,3415,GODDA,2805588,279.7140013,34,163,371.4912612,5493,5,55160,2363163,105558,9770,493285,40197,161.18167,7142.770716,68193,74507,130609,190317,180,328694,469087,60653,6610.097785,1288516,95,67.43,63.22,100.05,NA
2025-2026,Sep,34,JHARKHAND,3419,GIRIDIH,7707711,279.2415933,36,824,262.029489,16495,9,91137,6184095,417381,33593,490369,35584,149.4648,17680.0597,170568,182549,299837,386732,1360,701456,916745,107632,17268.56541,3397761,97,73.15,77.08,100.01,NA
2025-2026,Sep,34,JHARKHAND,3420,BOKARO,2618982,285.3822611,34,223,1056.711976,5436,14,52007,2238070,266899,27968,337888,35187,172.29017,7616.056916,64028,71575,139238,207741,591,399704,571153,57443,6387.05477,1263668,98,67.8,66.43,100,NA
2025-2026,Sep,34,JHARKHAND,3421,DHANBAD,2062782,280.6381682,31,143,26.6941897,17853,1,42063,1911093,161730,16133,264677,23280,120.96013,5510.910707,60043,68391,114490,157945,448,328861,425027,59916,5363.256387,1013866,97,69.4,71.75,100,NA
2025-2026,Sep,34,JHARKHAND,3422,DEOGHAR,4518398,282.0971916,37,376,65.0465352,10762,0,50808,4277005,269322,24561,347469,28342,128.9168,12259.27432,113262,125524,194400,275806,2015,446275,641756,61570,12065.31099,2043171,96,51.64,75.74,100,NA
